,level_0_x,index_x,job,sex_x,year_x,count_x,perc_x,together_x,level_0_y,index_y,sex_y,year_y,count_y,perc_y,together_y
0,765,1530,Cook,men,1850,0,0.0,0.0014286650160598002,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
1,770,1535,Cook,men,1910,0,0.0,0.0067454749774315,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
2,768,1533,Cook,men,1880,5690,0.00031080526804500003,0.0005722859039200001,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
3,766,1531,Cook,men,1860,6928,0.0008213947729030001,0.001773681553497,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
4,767,1532,Cook,men,1870,16086,0.0012252229580550001,0.004119113363895,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
5,769,1534,Cook,men,1900,68137,0.002294965495018,0.009179289392295,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
6,771,1536,Cook,men,1920,107994,0.002571992216052,0.004311660562568,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
7,775,1540,Cook,men,1960,259815,0.0029895577256480003,0.009901400459044002,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
8,772,1537,Cook,men,1930,170873,0.0035065130895480003,0.005653786269928001,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
9,774,1539,Cook,men,1950,230222,0.003790229245304,0.007981604887525001,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
10,773,1538,Cook,men,1940,205345,0.003946568522621,0.006710425346661001,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
11,776,1541,Cook,men,1970,433899,0.003971186345369001,0.011911151973614002,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
12,777,1542,Cook,men,1980,906926,0.007057634011164,0.017758105855995,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
13,778,1543,Cook,men,1990,1481390,0.009933835608100001,0.020723499663347,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
14,779,1544,Cook,men,2000,2100285,0.012492598173426002,0.026112030444874,779,1544,men,2000,2100285,0.012492598173426002,0.026112030444874
15,1635,3270,Janitor,men,1850,202,3.7364493594e-05,3.7364493594e-05,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
16,1636,3271,Janitor,men,1860,803,9.5204965739e-05,0.000107061125855,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
17,1637,3272,Janitor,men,1870,3016,0.00022971978375500003,0.00025272222894500004,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
18,1638,3273,Janitor,men,1880,7480,0.00040858056326500004,0.00044665284302300006,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
19,1639,3274,Janitor,men,1900,48751,0.0016420133385330001,0.001889236532002,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
20,1640,3275,Janitor,men,1910,94970,0.0024395756140250004,0.0029120009601080006,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
21,1641,3276,Janitor,men,1920,135536,0.0032279343018580004,0.0037423851404130007,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
22,1642,3277,Janitor,men,1930,253254,0.005197067213547,0.0057054175219880005,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
23,1643,3278,Janitor,men,1940,343957,0.006610581554629001,0.00740940876773,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
24,1644,3279,Janitor,men,1950,423443,0.006971297453411,0.008006727985353,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
25,1645,3280,Janitor,men,1960,698408,0.008036222050514,0.009393285532627,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
26,1649,3284,Janitor,men,2000,2004939,0.011925475489865,0.017598421311649,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
27,1646,3281,Janitor,men,1970,1471666,0.013469171222207001,0.015648578687256002,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
28,1648,3283,Janitor,men,1990,2288548,0.015346437881480001,0.023081376573897,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
29,1647,3282,Janitor,men,1980,2153590,0.016759085118415,0.022607827540741,1649,3284,men,2000,2004939,0.011925475489865,0.017598421311649
30,2643,5283,Professional - Misc,men,1880,3295,0.000179983015502,0.00021270223440500002,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
31,2641,5281,Professional - Misc,men,1860,1711,0.00020285889960100002,0.00020285889960100002,2654,5294,men,2000,2833825,0.016855730064639002,0.032273977274157005
