,job,sex,year_x,count_x,perc,year_y,count_y,std
0,Apprentice - Auto Mechanic,men,1850,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
1,Apprentice - Auto Mechanic,men,1860,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
2,Apprentice - Auto Mechanic,men,1870,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
3,Apprentice - Auto Mechanic,men,1880,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
4,Apprentice - Auto Mechanic,men,1900,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
5,Apprentice - Auto Mechanic,men,1910,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
6,Apprentice - Auto Mechanic,men,1920,3532,8.411834460300001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
7,Apprentice - Auto Mechanic,men,1930,506,1.0383709675000002e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
8,Apprentice - Auto Mechanic,men,1940,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
9,Apprentice - Auto Mechanic,men,1950,5955,9.803934965200001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
10,Apprentice - Auto Mechanic,men,1960,2093,2.4083075726e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
11,Apprentice - Auto Mechanic,men,1970,4106,3.7579462349e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
12,Apprentice - Auto Mechanic,men,1980,3961,3.0824221952e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
13,Apprentice - Auto Mechanic,men,1990,1800,1.2070355608000001e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
14,Apprentice - Auto Mechanic,men,2000,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
15,Apprentice - Auto Mechanic,women,1850,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
16,Apprentice - Auto Mechanic,women,1860,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
17,Apprentice - Auto Mechanic,women,1870,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
18,Apprentice - Auto Mechanic,women,1880,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
19,Apprentice - Auto Mechanic,women,1900,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
20,Apprentice - Auto Mechanic,women,1910,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
21,Apprentice - Auto Mechanic,women,1920,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
22,Apprentice - Auto Mechanic,women,1930,506,1.0383709675000002e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
23,Apprentice - Auto Mechanic,women,1940,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
24,Apprentice - Auto Mechanic,women,1950,1074,1.7681656007000002e-05,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
25,Apprentice - Auto Mechanic,women,1960,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
26,Apprentice - Auto Mechanic,women,1970,100,9.152328872317398e-07,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
27,Apprentice - Auto Mechanic,women,1980,120,9.338315158455877e-07,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
28,Apprentice - Auto Mechanic,women,1990,51,3.41993408901851e-07,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
29,Apprentice - Auto Mechanic,women,2000,0,0.0,47.483814544307265,1563.7193004419662,2.4021337609176674e-05
30,Apprentice - Bricklayer,men,1850,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
31,Apprentice - Bricklayer,men,1860,1204,0.00014274816780800002,47.483814544307265,1885.156815026638,5.6240753518110684e-05
32,Apprentice - Bricklayer,men,1870,3320,0.00025287456302,47.483814544307265,1885.156815026638,5.6240753518110684e-05
33,Apprentice - Bricklayer,men,1880,699,3.8181525898000006e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
34,Apprentice - Bricklayer,men,1900,1004,3.3816360523e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
35,Apprentice - Bricklayer,men,1910,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
36,Apprentice - Bricklayer,men,1920,101,2.405422651e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05
37,Apprentice - Bricklayer,men,1930,2021,4.1473275204000004e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
38,Apprentice - Bricklayer,men,1940,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
39,Apprentice - Bricklayer,men,1950,8290,0.000136481311271,47.483814544307265,1885.156815026638,5.6240753518110684e-05
40,Apprentice - Bricklayer,men,1960,2991,3.4415900380000004e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
41,Apprentice - Bricklayer,men,1970,4710,4.3107468988000005e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
42,Apprentice - Bricklayer,men,1980,3562,2.7719232162000003e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05
43,Apprentice - Bricklayer,men,1990,976,6.544815040000001e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05
44,Apprentice - Bricklayer,men,2000,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
45,Apprentice - Bricklayer,women,1850,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05
